Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Pbr_lncRNA1208	-	Chr15	-	4168	4767	1.319744	5.642846	15.338573
Pbr_lncRNA1209	-	Chr15	-	547228	547775	0.000000	0.000000	0.000000
Pbr_lncRNA1211	-	Chr15	-	1091354	1094096	1.980933	8.469899	23.023165
Pbr_lncRNA1065	-	Chr15	+	705879	707934	0.000000	0.000000	0.000000
Pbr_lncRNA1210	-	Chr15	-	967803	969255	4.117071	17.603411	47.850185
Pbr_lncRNA1066	-	Chr15	+	1366603	1367550	0.381849	1.632676	4.437996
Pbr_lncRNA1212	-	Chr15	-	1639874	1641378	0.000000	0.000000	0.000000
Pbr_lncRNA1213	-	Chr15	-	1888014	1890899	0.000000	0.000000	0.000000
Pbr_lncRNA1067	-	Chr15	+	1912627	1912972	0.000000	0.000000	0.000000
Pbr_lncRNA1214	-	Chr15	-	1917563	1920489	0.000000	0.000000	0.000000
Pbr_lncRNA1215	-	Chr15	-	1935868	1936223	0.000000	0.000000	0.000000
Pbr_lncRNA1216	-	Chr15	-	1949374	1950724	0.000000	0.000000	0.000000
Pbr_lncRNA1217	-	Chr15	-	2477867	2478409	2.961538	12.662684	34.420132
Pbr_lncRNA1219	-	Chr15	-	3311477	3318234	0.000000	0.000000	0.000000
Pbr_lncRNA1220	-	Chr15	-	4087802	4089276	0.000000	0.000000	0.000000
Pbr_lncRNA1221	-	Chr15	-	4101408	4108034	0.486251	4.996212	13.580873
Pbr_lncRNA1222	-	Chr15	-	4407595	4409875	22.608881	105.540329	286.883270
Pbr_lncRNA1224	-	Chr15	-	5013189	5013706	0.000000	0.000000	0.000000
Pbr_lncRNA1069	-	Chr15	+	5265490	5265765	0.000000	0.000000	0.000000
Pbr_lncRNA1070	-	Chr15	+	5324421	5326756	5.295520	32.754047	89.033150
Pbr_lncRNA1072	-	Chr15	+	5556824	5559191	0.746239	3.190703	8.673077
Pbr_lncRNA1226	-	Chr15	-	5713667	5714451	0.000000	0.000000	0.000000
Pbr_lncRNA1227	-	Chr15	-	5755922	5758622	0.000000	0.000000	0.000000
Pbr_lncRNA1073	-	Chr15	+	5756868	5757187	0.000000	0.000000	0.000000
Pbr_lncRNA1228	-	Chr15	-	5758695	5760369	17.077173	75.190910	204.386459
Pbr_lncRNA1229	-	Chr15	-	5800324	5808291	1.459509	86.113770	234.077332
Pbr_lncRNA1230	-	Chr15	-	5970368	5970762	0.000000	0.000000	0.000000
Pbr_lncRNA1075	-	Chr15	+	6078893	6083797	0.000000	0.000000	0.000000
Pbr_lncRNA1076	-	Chr15	+	6090352	6090638	0.000000	0.000000	0.000000
Pbr_lncRNA1077	-	Chr15	+	6901435	6901922	0.905964	3.873641	10.529462
Pbr_lncRNA1078	-	Chr15	+	7053973	7054764	0.000000	0.000000	0.000000
Pbr_lncRNA1231	-	Chr15	-	7146891	7147632	0.000000	0.000000	0.000000
Pbr_lncRNA1232	-	Chr15	-	7176934	7181507	15.688934	80.113647	217.767593
Pbr_lncRNA1233	-	Chr15	-	7335721	7337957	3.683632	20.348299	55.311428
Pbr_lncRNA1080	-	Chr15	+	7407255	7410114	0.000000	0.000000	0.000000
Pbr_lncRNA1235	-	Chr15	-	7513287	7513692	0.000000	0.000000	0.000000
Pbr_lncRNA1082	-	Chr15	+	8342796	8343301	0.000000	0.000000	0.000000
Pbr_lncRNA1237	-	Chr15	-	8317858	8319129	0.000000	0.000000	0.000000
