Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Pbr_lncRNA1208	-	Chr15	-	4168	4767	0.724923	4.491019	10.404822
Pbr_lncRNA1066	-	Chr15	+	1366603	1367550	0.331807	2.055599	4.762427
Pbr_lncRNA1065	-	Chr15	+	705879	707934	0.000000	0.000000	0.000000
Pbr_lncRNA1210	-	Chr15	-	967803	969255	8.929132	55.317467	128.159866
Pbr_lncRNA1211	-	Chr15	-	1091354	1094096	5.165582	32.001644	74.141617
Pbr_lncRNA1212	-	Chr15	-	1639874	1641378	0.000000	0.000000	0.000000
Pbr_lncRNA1213	-	Chr15	-	1888014	1890899	0.000000	0.000000	0.000000
Pbr_lncRNA1067	-	Chr15	+	1912627	1912972	2.900916	17.971661	41.636856
Pbr_lncRNA1214	-	Chr15	-	1917563	1920489	0.000000	0.000000	0.000000
Pbr_lncRNA1215	-	Chr15	-	1935868	1936223	0.425945	2.638800	6.113590
Pbr_lncRNA1216	-	Chr15	-	1949374	1950724	0.000000	0.000000	0.000000
Pbr_lncRNA1217	-	Chr15	-	2477867	2478409	1.877226	11.629728	26.943830
Pbr_lncRNA1218	-	Chr15	-	3174398	3175859	2.552836	15.815244	36.640865
Pbr_lncRNA1220	-	Chr15	-	4087802	4089276	0.000000	0.000000	0.000000
Pbr_lncRNA1221	-	Chr15	-	4101408	4108034	0.561993	6.399998	14.827558
Pbr_lncRNA1222	-	Chr15	-	4407595	4409875	2.669891	20.880102	48.375160
Pbr_lncRNA1223	-	Chr15	-	4525513	4526605	1.090762	6.757452	15.655710
Pbr_lncRNA1224	-	Chr15	-	5013189	5013706	83.013382	514.281738	1191.491333
Pbr_lncRNA1070	-	Chr15	+	5324421	5326756	8.653021	59.534451	137.929810
Pbr_lncRNA1072	-	Chr15	+	5556824	5559191	0.000000	0.000000	0.000000
Pbr_lncRNA1226	-	Chr15	-	5713667	5714451	0.565936	3.506068	8.122881
Pbr_lncRNA1227	-	Chr15	-	5755922	5758622	0.000000	0.000000	0.000000
Pbr_lncRNA1073	-	Chr15	+	5756868	5757187	0.471004	2.917948	6.760322
Pbr_lncRNA1228	-	Chr15	-	5758695	5760369	3.980267	25.563444	59.225555
