Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Pbr_lncRNA1209	-	Chr15	-	547228	547775	0.000000	0.000000	0.000000
Pbr_lncRNA1065	-	Chr15	+	705879	707934	0.293635	1.845527	4.152573
Pbr_lncRNA1210	-	Chr15	-	967803	969255	5.278869	33.178246	74.653526
Pbr_lncRNA1211	-	Chr15	-	1091354	1094096	2.618366	16.456705	37.028812
Pbr_lncRNA1066	-	Chr15	+	1366603	1367550	0.000000	0.000000	0.000000
Pbr_lncRNA1212	-	Chr15	-	1639874	1641378	0.000000	0.000000	0.000000
Pbr_lncRNA1213	-	Chr15	-	1888014	1890899	0.000000	0.000000	0.000000
Pbr_lncRNA1067	-	Chr15	+	1912627	1912972	0.000000	0.000000	0.000000
Pbr_lncRNA1214	-	Chr15	-	1917563	1920489	0.000000	0.000000	0.000000
Pbr_lncRNA1215	-	Chr15	-	1935868	1936223	0.265647	1.669619	3.756768
Pbr_lncRNA1216	-	Chr15	-	1949374	1950724	0.000000	0.000000	0.000000
Pbr_lncRNA1218	-	Chr15	-	3174398	3175859	3.567476	22.421967	50.451099
Pbr_lncRNA1220	-	Chr15	-	4087802	4089276	4.147645	26.086824	58.697300
Pbr_lncRNA1221	-	Chr15	-	4101408	4108034	0.000000	0.000000	0.000000
Pbr_lncRNA1222	-	Chr15	-	4407595	4409875	3.820091	24.134985	54.305515
Pbr_lncRNA1223	-	Chr15	-	4525513	4526605	0.801986	5.040566	11.341650
Pbr_lncRNA1224	-	Chr15	-	5013189	5013706	10.802631	67.895676	152.770325
Pbr_lncRNA1070	-	Chr15	+	5324421	5326756	3.467589	24.692745	55.560516
Pbr_lncRNA1072	-	Chr15	+	5556824	5559191	2.023967	12.720844	28.622850
Pbr_lncRNA1226	-	Chr15	-	5713667	5714451	1.221026	7.836381	17.632444
Pbr_lncRNA1227	-	Chr15	-	5755922	5758622	0.000000	0.000000	0.000000
Pbr_lncRNA1073	-	Chr15	+	5756868	5757187	0.000000	0.000000	0.000000
Pbr_lncRNA1228	-	Chr15	-	5758695	5760369	4.526740	29.031410	65.322838
Pbr_lncRNA1229	-	Chr15	-	5800324	5808291	1.727645	242.884979	546.509338
Pbr_lncRNA1230	-	Chr15	-	5970368	5970762	0.000000	0.000000	0.000000
Pbr_lncRNA1075	-	Chr15	+	6078893	6083797	0.692714	4.353780	9.796330
Pbr_lncRNA1078	-	Chr15	+	7053973	7054764	5.189722	32.617947	73.392815
Pbr_lncRNA1232	-	Chr15	-	7176934	7181507	6.061186	48.307259	108.694939
Pbr_lncRNA1233	-	Chr15	-	7335721	7337957	1.705129	26.498249	59.623032
Pbr_lncRNA1080	-	Chr15	+	7407255	7410114	0.000000	0.000000	0.000000
