Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Pbr_lncRNA1208	-	Chr15	-	4168	4767	0.000000	0.000000	0.000000
Pbr_lncRNA1209	-	Chr15	-	547228	547775	0.000000	0.000000	0.000000
Pbr_lncRNA1065	-	Chr15	+	705879	707934	0.000000	0.000000	0.000000
Pbr_lncRNA1210	-	Chr15	-	967803	969255	3.795784	17.130487	46.536205
Pbr_lncRNA1211	-	Chr15	-	1091354	1094096	6.923238	31.244778	84.878693
Pbr_lncRNA1212	-	Chr15	-	1639874	1641378	0.000000	0.000000	0.000000
Pbr_lncRNA1213	-	Chr15	-	1888014	1890899	0.000000	0.000000	0.000000
Pbr_lncRNA1067	-	Chr15	+	1912627	1912972	0.000000	0.000000	0.000000
Pbr_lncRNA1214	-	Chr15	-	1917563	1920489	0.000000	0.000000	0.000000
Pbr_lncRNA1215	-	Chr15	-	1935868	1936223	0.306180	1.381800	3.753758
Pbr_lncRNA1216	-	Chr15	-	1949374	1950724	0.000000	0.000000	0.000000
Pbr_lncRNA1217	-	Chr15	-	2477867	2478409	3.392644	15.311104	41.593719
Pbr_lncRNA1220	-	Chr15	-	4087802	4089276	3.198535	14.445294	39.241680
Pbr_lncRNA1221	-	Chr15	-	4101408	4108034	0.000000	0.000000	0.000000
Pbr_lncRNA1222	-	Chr15	-	4407595	4409875	15.303744	94.380699	256.391998
Pbr_lncRNA1224	-	Chr15	-	5013189	5013706	8.647192	39.025036	106.014328
Pbr_lncRNA1069	-	Chr15	+	5265490	5265765	1.124463	5.074735	13.785885
Pbr_lncRNA1070	-	Chr15	+	5324421	5326756	7.266662	43.573895	118.371620
Pbr_lncRNA1072	-	Chr15	+	5556824	5559191	0.669912	3.023333	8.213102
Pbr_lncRNA1226	-	Chr15	-	5713667	5714451	0.796317	3.593803	9.762824
Pbr_lncRNA1227	-	Chr15	-	5755922	5758622	0.000000	0.000000	0.000000
Pbr_lncRNA1073	-	Chr15	+	5756868	5757187	0.342336	1.544973	4.197030
Pbr_lncRNA1228	-	Chr15	-	5758695	5760369	14.229074	65.793121	178.731750
Pbr_lncRNA1074	-	Chr15	+	5829518	5829983	0.000000	0.000000	0.000000
Pbr_lncRNA1229	-	Chr15	-	5800324	5808291	1.713182	136.565811	370.990845
Pbr_lncRNA1230	-	Chr15	-	5970368	5970762	2.802168	12.646268	34.354500
Pbr_lncRNA1076	-	Chr15	+	6090352	6090638	0.388132	1.751651	4.758487
Pbr_lncRNA1077	-	Chr15	+	6901435	6901922	0.613877	2.770445	7.526115
Pbr_lncRNA1231	-	Chr15	-	7146891	7147632	0.000000	0.000000	0.000000
Pbr_lncRNA1232	-	Chr15	-	7176934	7181507	10.098748	57.427948	156.007156
Pbr_lncRNA1080	-	Chr15	+	7407255	7410114	0.000000	0.000000	0.000000
Pbr_lncRNA1233	-	Chr15	-	7335721	7337957	0.866671	7.821325	21.247192
Pbr_lncRNA1234	-	Chr15	-	7353927	7354451	0.000000	0.000000	0.000000
Pbr_lncRNA1079	-	Chr15	+	7354108	7354505	0.000000	0.000000	0.000000
Pbr_lncRNA1235	-	Chr15	-	7513287	7513692	0.000000	0.000000	0.000000
Pbr_lncRNA1236	-	Chr15	-	7869877	7870394	0.828595	3.739474	10.158551
Pbr_lncRNA1081	-	Chr15	+	7923803	7924104	0.000000	0.000000	0.000000
Pbr_lncRNA1082	-	Chr15	+	8342796	8343301	0.000000	0.000000	0.000000
Pbr_lncRNA1237	-	Chr15	-	8317858	8319129	0.000000	0.000000	0.000000
Pbr_lncRNA1238	-	Chr15	-	8619530	8626247	0.069369	0.313064	0.850462
Pbr_lncRNA1239	-	Chr15	-	8623380	8625874	0.000000	0.000000	0.000000
Pbr_lncRNA1240	-	Chr15	-	8624061	8625071	0.000000	0.000000	0.000000
Pbr_lncRNA1085	-	Chr15	+	9057687	9063444	10.363795	46.772121	127.059837
Pbr_lncRNA1086	-	Chr15	+	9454319	9455098	0.680143	3.069506	8.338534
Pbr_lncRNA1242	-	Chr15	-	9256895	9258878	3.982208	17.971825	48.821758
Pbr_lncRNA1087	-	Chr15	+	9695742	9696067	1.290749	5.825189	15.824547
Pbr_lncRNA1089	-	Chr15	+	9766720	9768441	5.169643	39.070988	106.139153
Pbr_lncRNA1090	-	Chr15	+	9788497	9791415	2.117808	9.557732	25.964266
