Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Pbr_lncRNA1209	-	Chr15	-	547228	547775	2.583693	15.714626	30.842686
Pbr_lncRNA1210	-	Chr15	-	967803	969255	2.100706	12.776986	25.077055
Pbr_lncRNA1212	-	Chr15	-	1639874	1641378	0.000000	0.000000	0.000000
Pbr_lncRNA1211	-	Chr15	-	1091354	1094096	7.010619	42.640228	83.688858
Pbr_lncRNA1066	-	Chr15	+	1366603	1367550	0.000000	0.000000	0.000000
Pbr_lncRNA1216	-	Chr15	-	1949374	1950724	4.559661	27.732925	54.430687
Pbr_lncRNA1213	-	Chr15	-	1888014	1890899	0.000000	0.000000	0.000000
Pbr_lncRNA1067	-	Chr15	+	1912627	1912972	0.000000	0.000000	0.000000
Pbr_lncRNA1214	-	Chr15	-	1917563	1920489	0.000000	0.000000	0.000000
Pbr_lncRNA1215	-	Chr15	-	1935868	1936223	0.000000	0.000000	0.000000
Pbr_lncRNA1217	-	Chr15	-	2477867	2478409	0.554035	3.369771	6.613760
Pbr_lncRNA1068	-	Chr15	+	2579830	2580168	0.000000	0.000000	0.000000
Pbr_lncRNA1219	-	Chr15	-	3311477	3318234	0.360210	2.190882	4.299986
Pbr_lncRNA1220	-	Chr15	-	4087802	4089276	2.732766	16.644850	32.668407
Pbr_lncRNA1221	-	Chr15	-	4101408	4108034	0.086220	0.554834	1.088957
Pbr_lncRNA1222	-	Chr15	-	4407595	4409875	19.748695	170.455856	334.549255
Pbr_lncRNA1224	-	Chr15	-	5013189	5013706	0.000000	0.000000	0.000000
Pbr_lncRNA1225	-	Chr15	-	5080508	5080851	3.257973	19.815754	38.891865
Pbr_lncRNA1069	-	Chr15	+	5265490	5265765	0.674556	4.102808	8.052473
Pbr_lncRNA1070	-	Chr15	+	5324421	5326756	2.823481	17.941099	35.212528
Pbr_lncRNA1071	-	Chr15	+	5439985	5440341	0.000000	0.000000	0.000000
Pbr_lncRNA1072	-	Chr15	+	5556824	5559191	0.000000	0.000000	0.000000
