Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Pbr_lncRNA1209	-	Chr15	-	547228	547775	0.000000	0.000000	0.000000
Pbr_lncRNA1065	-	Chr15	+	705879	707934	0.965411	5.670035	11.902091
Pbr_lncRNA1210	-	Chr15	-	967803	969255	0.868466	5.100660	10.706903
Pbr_lncRNA1211	-	Chr15	-	1091354	1094096	7.224613	42.431477	89.068802
Pbr_lncRNA1066	-	Chr15	+	1366603	1367550	0.187500	1.101222	2.311598
Pbr_lncRNA1212	-	Chr15	-	1639874	1641378	2.878900	16.908306	35.492584
Pbr_lncRNA1213	-	Chr15	-	1888014	1890899	0.652256	3.830819	8.041352
Pbr_lncRNA1067	-	Chr15	+	1912627	1912972	0.000000	0.000000	0.000000
Pbr_lncRNA1214	-	Chr15	-	1917563	1920489	0.000000	0.000000	0.000000
Pbr_lncRNA1215	-	Chr15	-	1935868	1936223	0.000000	0.000000	0.000000
Pbr_lncRNA1216	-	Chr15	-	1949374	1950724	0.000000	0.000000	0.000000
Pbr_lncRNA1068	-	Chr15	+	2579830	2580168	3.248417	19.078548	40.048180
Pbr_lncRNA1219	-	Chr15	-	3311477	3318234	0.000000	0.000000	0.000000
Pbr_lncRNA1220	-	Chr15	-	4087802	4089276	0.000000	0.000000	0.000000
Pbr_lncRNA1221	-	Chr15	-	4101408	4108034	0.403586	5.696153	11.956916
Pbr_lncRNA1222	-	Chr15	-	4407595	4409875	48.311302	285.222015	598.715515
Pbr_lncRNA1224	-	Chr15	-	5013189	5013706	90.753128	533.009766	1118.851929
Pbr_lncRNA1225	-	Chr15	-	5080508	5080851	0.000000	0.000000	0.000000
Pbr_lncRNA1069	-	Chr15	+	5265490	5265765	0.336082	1.973871	4.143394
Pbr_lncRNA1070	-	Chr15	+	5324421	5326756	0.000000	0.000000	0.000000
Pbr_lncRNA1072	-	Chr15	+	5556824	5559191	0.377015	2.214278	4.648038
Pbr_lncRNA1227	-	Chr15	-	5755922	5758622	0.000000	0.000000	0.000000
Pbr_lncRNA1073	-	Chr15	+	5756868	5757187	0.091461	0.537167	1.127579
Pbr_lncRNA1228	-	Chr15	-	5758695	5760369	8.895906	53.772446	112.874870
Pbr_lncRNA1226	-	Chr15	-	5713667	5714451	3.055372	17.944759	37.668221
